,TimeRight,FrameIDRight,HandTypeRight,#handsRight,PositionXRight,PositionYRight,PositionZRight,VelocityXRight,VelocityYRight,VelocityZRight,PitchRight,RollRight,YawRight,WristPosXRight,WristPosYRight,WristPosZRight,ElbowposXRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,labelRight,TimeLeft,FrameIDLeft,HandTypeLeft,#handsLeft,PositionXLeft,PositionYLeft,PositionZLeft,VelocityXLeft,VelocityYLeft,VelocityZLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,WristPosZLeft,ElbowposXLeft,ElbowPosYLeft,ElbowPosZLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,labelLeft
0,7.030799999999999,52228,right,2,184.2957,186.3274,86.72543,-36.04921,-6.484097,-59.52271,1.267501,-1.132788,-0.59986,212.4299,122.5561,108.7601,388.2717,2.822534,260.4156,1.0,3.141593,1.0,Spontaneous,7.030799999999999,52228,left,2,-117.4551,235.793,25.148,-182.5719,49.86488,52.14264,0.8758536,2.177757,0.8643388,-158.7724,183.6164,56.81451,-329.8748,9.339067,149.5896,0.0,0.4973734,0.0,Spontaneous
1,7.0639999999999645,52230,right,2,183.5028,187.6034,85.27463,-27.68208,56.60848,-44.62295,1.233895,-1.069039,-0.639397,213.8223,125.1616,108.7833,387.7318,-2.46305,256.1718,1.0,3.141593,1.0,Spontaneous,7.0639999999999645,52230,left,2,-119.6806,242.5752,23.74601,-30.86689,261.8531,-103.6657,0.9309616,1.744054,0.8359287,-159.2316,188.0312,53.44635,-329.0636,20.92757,160.6347,0.0,0.4104051,0.0,Spontaneous
2,7.09719999999993,52232,right,2,181.8042,189.3387,84.13492,-82.82235,52.43853,-40.27459,1.202122,-1.016544,-0.6782205,214.6048,128.4419,108.7163,391.6431,-1.905007,249.8651,1.0,3.141593,1.0,Spontaneous,7.09719999999993,52232,left,2,-118.5608,252.0458,21.41678,56.99593,296.8428,-67.605,0.9549076,1.343674,0.8553419,-160.6896,198.1813,48.80896,-329.1111,30.71814,157.6491,0.0,0.3466824,0.0,Spontaneous
3,7.13130000000001,52235,right,2,176.5594,191.6382,83.92091,-159.9448,14.62279,-12.32988,1.152007,-0.8539679,-0.8102233,215.9755,135.0715,109.8077,389.2605,-8.6808,242.3349,1.0,2.989681,1.0,Spontaneous,7.13130000000001,52235,left,2,-116.5429,252.7423,19.39447,68.11459,-88.45708,-35.65081,0.9361662,1.146783,0.8171318,-159.9761,200.5664,48.05976,-332.2621,40.10319,161.3072,0.0,0.2536112,0.0,Spontaneous
4,7.164199999999937,52237,right,2,175.0942,191.8148,84.89553,-50.35295,-6.693551,55.10075,1.122513,-0.7950904,-0.822291,215.7393,136.2321,111.3283,377.9112,-31.53313,228.8485,1.0,2.211371,0.5974478,Spontaneous,7.164199999999937,52237,left,2,-114.4224,250.132,18.84802,102.327,-131.2593,-20.91624,0.9287415,1.092328,0.7997581,-158.4369,198.7117,48.03416,-339.9817,45.37774,156.5978,0.0,0.1052327,0.0,Spontaneous
5,7.197000000000003,52240,right,2,171.5715,187.4211,84.5454,-66.4978,-113.2229,-34.57814,1.040197,-0.7073178,-0.7763437,213.133,133.8965,113.7431,365.4251,-57.98775,204.5364,0.05476449,0.9077201,0.0,Spontaneous,7.197000000000003,52240,left,2,-109.5719,244.4918,17.13268,136.6643,-158.4694,-61.53499,0.8970938,0.9765856,0.8244641,-156.9481,196.3544,46.77542,-347.852,50.4357,149.3393,0.0,0.0,0.0,Spontaneous
6,7.23090000000002,52243,right,2,170.4127,184.9792,82.92077,-50.05842,-77.93131,-42.22893,0.9406246,-0.6253042,-0.7736754,214.7948,135.8961,115.3614,358.817,-61.74567,207.358,0.0,0.318837,0.0,Spontaneous,7.23090000000002,52243,left,2,-104.019,238.3799,13.4157,152.2082,-147.3878,-122.8797,0.8494213,0.8574395,0.8256009,-153.7893,193.5655,44.4649,-348.0955,47.2515,139.8871,0.0,0.0,0.0,Spontaneous
7,7.265099999999961,52245,right,2,168.3802,182.3995,81.23131,-102.1798,-122.6189,-76.04359,0.8951291,-0.5813443,-0.7898302,214.8368,136.3475,115.135,360.6193,-52.97453,220.8994,0.0,0.2019562,0.0,Spontaneous,7.265099999999961,52245,left,2,-101.5746,235.9899,10.82934,105.5606,-108.7686,-107.7061,0.799417,0.7856579,0.813351,-152.4878,193.803,43.69997,-347.3559,47.85296,138.6026,0.0,0.0,0.0,Spontaneous
8,7.296799999999962,52248,right,2,164.8459,177.6754,78.72155,-87.12221,-113.5551,-55.19239,0.8464335,-0.5495865,-0.8084044,213.7413,135.0386,113.6616,368.7559,-39.94554,230.4161,0.0,0.06890537,0.0,Spontaneous,7.296799999999962,52248,left,2,-98.34026,232.4941,6.964983,51.4966,-33.91907,-92.46704,0.7462287,0.7055807,0.767674,-148.7234,192.3687,43.06102,-339.3633,44.07302,142.7876,0.0,0.0,0.0,Spontaneous
9,7.330699999999979,52251,right,2,163.3397,175.4308,77.81449,-24.39382,-40.69184,-13.44831,0.8347644,-0.5535404,-0.8192934,213.5072,134.1236,112.6241,382.092,-26.29626,231.3172,0.0,0.1443524,0.0,Spontaneous,7.330699999999979,52251,left,2,-96.18921,231.8614,3.912779,52.23173,6.389572,-74.77747,0.7633289,0.6708626,0.7049394,-143.7641,190.2299,42.03451,-334.7572,44.33227,144.4013,0.0,0.0,0.0,Spontaneous
