,TimeRight,FrameIDRight,HandTypeRight,#handsRight,PositionXRight,PositionYRight,PositionZRight,VelocityXRight,VelocityYRight,VelocityZRight,PitchRight,RollRight,YawRight,WristPosXRight,WristPosYRight,WristPosZRight,ElbowposXRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,labelRight,TimeLeft,FrameIDLeft,HandTypeLeft,#handsLeft,PositionXLeft,PositionYLeft,PositionZLeft,VelocityXLeft,VelocityYLeft,VelocityZLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,WristPosZLeft,ElbowposXLeft,ElbowPosYLeft,ElbowPosZLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,labelLeft
4460,133.2203,16047,right,1,29.85305,209.5667,-3.452289,-193.3307,-57.51805,-11.09968,0.4185701,-0.9618282,0.05471156,38.20103,172.7626,63.00783,123.0802,0.7708285,254.0347,0.0,0.0149305,0.0,Alone,16.862799999999993,55029,left,1,-168.7456,237.3649,-24.17872,322.366,-442.7139,-225.3668,0.9882969,1.961234,0.173972,-178.1408,172.7325,7.14764,-304.2789,-29.89046,105.3144,0.4450969,1.804772,0.1095378,Alone
4461,133.237,16049,right,1,26.53555,210.4775,-2.957534,-194.7146,86.37719,32.95673,0.4402955,-0.8376034,0.02551782,37.18186,173.1275,62.82339,126.53,-5.255653,245.7804,0.0,0.002345523,0.0,Alone,16.896299999999997,55032,left,1,-159.1313,226.1062,-32.76536,283.2596,-255.4856,-304.3579,0.9588787,1.933577,0.2171398,-170.741,162.4794,-0.01071999,-299.7384,-39.05024,96.67967,0.4022008,1.767787,0.1548229,Alone
4462,133.2537,16051,right,1,22.43453,211.8475,-1.518821,-245.4017,98.30807,105.7227,0.4159749,-0.6834109,-0.02515804,36.58514,176.9247,64.81319,131.8303,-6.507229,239.6216,0.0,0.0,0.0,Alone,16.929300000000012,55035,left,1,-148.0172,213.1298,-41.25224,274.3002,-345.642,-271.53,0.9253547,1.852279,0.3399792,-165.3223,151.3761,-7.164218,-298.1183,-46.33122,92.23694,0.3767782,1.724416,0.08091442,Alone
4463,133.2698,16053,right,1,18.27104,211.7297,1.049515,-235.5126,-73.85468,153.1765,0.3761068,-0.5507877,-0.06808671,35.44147,180.2388,68.2403,138.1638,-3.811472,238.0947,0.0,0.0,0.0,Alone,16.963600000000042,55039,left,1,-137.5761,199.6483,-48.70856,159.706,-257.2957,-141.9958,0.8646236,1.775283,0.3924502,-158.6773,140.5797,-11.84453,-288.7191,-55.80236,93.6392,0.2303505,1.551633,0.0,Alone
4464,133.2864,16055,right,1,14.5943,209.9475,2.708331,-213.204,-138.0619,100.6431,0.3412284,-0.4287623,-0.09934617,34.01661,181.6831,70.59032,144.4662,-0.240412,237.8674,0.0,0.0,0.0,Alone,16.996200000000044,55042,left,1,-134.0597,194.6496,-51.69222,149.431,-192.9332,-90.17565,0.8129753,1.743377,0.4242293,-157.3956,137.7539,-12.62946,-277.7463,-62.65029,96.72066,0.1267918,1.313313,0.0,Alone
4465,133.3035,16057,right,1,11.0987,206.1315,3.865389,-188.2292,-215.8393,54.33385,0.319198,-0.3285569,-0.1249422,32.37739,180.294,72.08289,151.5361,3.151968,238.5124,0.0,0.0,0.0,Alone,17.02959999999996,55046,left,1,-132.2717,191.6581,-52.39162,10.69653,-19.74969,13.05175,0.7454916,1.759734,0.4738439,-158.9359,137.9898,-10.87996,-277.3345,-62.39566,100.6144,0.02862997,1.115701,0.0,Alone
4466,133.3197,16059,right,1,8.122957,202.3583,4.564929,-164.9452,-216.5652,32.29502,0.2985244,-0.2281199,-0.1470941,30.92125,178.9432,73.11041,157.7231,8.220838,240.5978,0.0,0.0,0.0,Alone,17.063300000000027,55050,left,1,-137.0521,197.5255,-50.36414,-92.53125,111.2652,122.1512,0.7378741,1.811271,0.4574786,-162.9449,144.0144,-8.209273,-285.6153,-53.46915,103.8433,0.0,0.974709,0.0,Alone
4467,133.3366,16061,right,1,5.869625,198.4227,4.945808,-121.3957,-251.9624,19.71165,0.2760032,-0.1369198,-0.158497,29.4805,177.4171,73.9393,163.493,13.35937,242.4704,0.0,0.0,0.0,Alone,17.09710000000007,55054,left,1,-145.896,209.6238,-46.24777,-402.9011,516.6853,109.9527,0.7685462,1.860137,0.4118964,-168.9648,154.1858,-5.054183,-295.2883,-45.19294,99.32053,0.0,0.896888,0.0,Alone
4468,133.353,16063,right,1,4.218335,193.961,4.85175,-83.06335,-249.6552,-3.586058,0.2610479,-0.06903992,-0.1716841,28.71791,174.7186,74.026,169.211,17.07569,243.4138,0.0,0.0,0.0,Alone,17.129699999999957,55057,left,1,-153.5274,219.1967,-40.8432,-307.2045,415.8283,204.853,0.7974353,1.89651,0.4043407,-175.6769,162.4265,-1.089054,-308.3884,-37.33136,94.24209,0.0,0.8602188,0.0,Alone
4469,133.37,16064,right,1,3.63797,191.6932,4.839023,-66.32743,-259.1862,-1.454528,0.2498815,-0.03847852,-0.1788539,28.62914,173.5596,74.12733,172.3791,19.69986,244.2716,0.0,0.01890804,0.0,Alone,17.162900000000036,55061,left,1,-164.8731,234.9892,-31.73095,-332.9903,470.394,287.7003,0.8622253,1.900634,0.3461399,-183.1132,175.1023,5.244055,-311.2769,-29.54347,96.33612,0.0,0.8942236,0.0,Alone
4470,133.3864,16066,right,1,2.884112,187.0266,4.506886,-28.34366,-266.0916,-24.96195,0.2251953,0.01364796,-0.1906963,28.72561,171.3314,74.09657,179.1716,28.47234,248.0251,0.0,0.04797319,0.0,Alone,17.19590000000005,55065,left,1,-176.2267,248.3947,-21.13908,-355.5063,414.9611,279.8831,0.939817,1.898279,0.3234919,-191.7246,185.6865,12.16182,-312.3726,-21.81088,106.9904,0.0,0.971466,0.0,Alone
4471,133.4031,16068,right,1,2.800675,183.0651,3.880794,10.8274,-208.2603,-32.81184,0.186364,0.0380135,-0.1998977,29.33144,170.3584,73.81467,182.9964,35.79432,251.5333,0.0,0.07093865,0.0,Alone,17.230099999999993,55069,left,1,-185.1546,259.2334,-11.63812,-174.2578,225.7148,234.3442,1.017723,1.832912,0.340118,-199.8501,194.4117,17.65415,-314.8981,-12.45062,120.4914,0.02400038,1.081005,0.0,Alone
4472,133.4198,16070,right,1,3.411829,180.7978,3.862675,39.88511,-107.3491,16.72393,0.1557257,0.05154999,-0.2026734,30.15554,170.3031,74.0648,184.6225,40.21643,254.4328,0.0,0.1155797,0.0,Alone,17.263000000000034,55072,left,1,-187.0366,263.4755,-8.164713,-26.96224,118.0561,76.57845,1.072558,1.766544,0.3512361,-201.2044,197.3278,18.18916,-310.0784,-9.830901,126.9793,0.06090872,1.157563,0.0,Alone
4473,133.4373,16072,right,1,4.510147,178.6727,3.762118,65.50979,-135.6029,-13.73312,0.1379761,0.06127108,-0.2002817,31.12623,169.4877,74.18943,186.2714,42.63499,256.2989,0.0,0.1813549,0.0,Alone,17.297000000000025,55076,left,1,-183.5774,263.307,-8.903411,157.2357,-76.52869,-89.94912,1.107957,1.707229,0.3887457,-198.171,196.451,15.38632,-297.96,-13.80465,126.9135,0.07080861,1.211354,0.0,Alone
4474,133.4531,16074,right,1,5.524312,176.4886,3.163551,60.56402,-123.6578,-35.632,0.1128443,0.07709214,-0.2018647,32.23139,169.0065,73.70358,187.6194,42.55621,255.9124,0.0,0.2485041,0.0,Alone,17.329200000000014,55080,left,1,-172.7847,251.9138,-15.93461,384.0784,-474.8926,-248.9543,1.081499,1.709182,0.4161333,-188.4423,185.6632,9.612104,-280.0966,-30.01062,117.7226,0.06288003,1.213228,0.0,Alone
